mbid,composition,is_metal,spg_num,crys_sys
mb-mp-is-metal-042823,K2 V12 O22,True,194,hexagonal
mb-mp-is-metal-090825,Nd1 Si2 Ir2,True,139,tetragonal
mb-mp-is-metal-055907,Zn6 S6,False,160,trigonal
mb-mp-is-metal-098164,Cd1 Cu2 Ge1 Se4,False,121,tetragonal
mb-mp-is-metal-091011,Nd2 Au6,True,194,hexagonal
mb-mp-is-metal-062583,Li1 Bi3 Cl2 O4,False,38,orthorhombic
mb-mp-is-metal-025822,K4 P4 H8 O16,False,19,orthorhombic
mb-mp-is-metal-071087,Ba2 Ca1 Re1 O6,True,225,cubic
mb-mp-is-metal-093805,Li2 Mo2 I2 O12,False,4,monoclinic
mb-mp-is-metal-089186,Sc3 B1 Pb1,True,221,cubic
mb-mp-is-metal-091401,Rb6 Sb2,False,194,hexagonal
mb-mp-is-metal-062201,Tm2 Cd1 Hg1,True,225,cubic
mb-mp-is-metal-063640,Cd1 Hg4 Se5,False,119,tetragonal
mb-mp-is-metal-009241,Ca2 Co9 O13,True,12,monoclinic
mb-mp-is-metal-056506,Ba2 U1 Cu1 O6,False,87,tetragonal
mb-mp-is-metal-087997,Tm1 Ni2 Ge2,True,139,tetragonal
mb-mp-is-metal-032250,Zr2 Rh2,True,51,orthorhombic
mb-mp-is-metal-087455,Ti6 Sn2 C4,True,194,hexagonal
mb-mp-is-metal-024713,Ca4 Ta4 N4 O8,False,14,monoclinic
mb-mp-is-metal-089740,Ho1 Mn12,True,139,tetragonal
mb-mp-is-metal-033762,In8 Co4,True,70,orthorhombic
mb-mp-is-metal-068905,Cd5 I10,False,156,trigonal
mb-mp-is-metal-025770,Y4 Ti4 O12,True,62,orthorhombic
mb-mp-is-metal-094846,Co8 Sb8 S8,False,61,orthorhombic
mb-mp-is-metal-048929,Sn1 I4,False,215,cubic
mb-mp-is-metal-103039,Zr2 Co12 P7,True,174,hexagonal
mb-mp-is-metal-029379,In8 O12,False,60,orthorhombic
mb-mp-is-metal-088940,Al1 Ir1,True,221,cubic
mb-mp-is-metal-011901,Li2 Cr1 Co3 O8,False,12,monoclinic
mb-mp-is-metal-087191,Eu2 Al4 Au4,True,129,tetragonal
mb-mp-is-metal-053097,Li2 Ti22 O40,True,2,triclinic
mb-mp-is-metal-054795,Y1 Hg2,True,191,hexagonal
mb-mp-is-metal-085808,Ce1 Mg1 Zn2,True,225,cubic
mb-mp-is-metal-049139,V6 O9 F9,False,1,triclinic
mb-mp-is-metal-002006,Mg1 Ag1 As1,True,216,cubic
mb-mp-is-metal-004488,Mg8 Sn4,True,15,monoclinic
mb-mp-is-metal-041804,Nd2 O3,False,164,trigonal
mb-mp-is-metal-030146,Li4 Mn1 W3 O12,False,3,monoclinic
mb-mp-is-metal-069902,P4 W20 O68,True,19,orthorhombic
mb-mp-is-metal-012112,Cr1 O3,False,38,orthorhombic
